product_id,name,category,price,description
P033,Wireless Earbuds 2025 Edition,Electronics,739.27,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P034,VR Headset Series X,Electronics,1153.43,High quality vr headset suitable for electronics enthusiasts. Features state-of-the-art technology.
P035,Designer Sunglasses Series X,Fashion,264.39,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P036,Portable Projector Series X,Entertainment,1137.79,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P037,Smart Backpack Max,Fashion,1492.82,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P038,Coffee Maker Series X,Home,688.2,High quality coffee maker suitable for home enthusiasts. Features state-of-the-art technology.
P039,Denim Jacket Pro,Fashion,520.37,High quality denim jacket suitable for fashion enthusiasts. Features state-of-the-art technology.
P040,Winter Coat Ultra,Fashion,30.64,High quality winter coat suitable for fashion enthusiasts. Features state-of-the-art technology.
P041,Smart Watch Pro,Electronics,1360.02,High quality smart watch suitable for electronics enthusiasts. Features state-of-the-art technology.
P042,Smart Bulb Series X,Home,372.25,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P043,Portable Projector Series X,Entertainment,215.82,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P044,Portable Projector Eco,Entertainment,720.0,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P045,Portable Projector Pro,Entertainment,163.46,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P046,Bluetooth Speaker Max,Entertainment,628.43,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P047,Drone 2025 Edition,Electronics,1476.56,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P048,Wireless Earbuds Max,Electronics,1097.76,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P049,Smart Watch Ultra,Electronics,301.51,High quality smart watch suitable for electronics enthusiasts. Features state-of-the-art technology.
P050,Portable Projector Max,Entertainment,291.56,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P051,Portable Projector Eco,Entertainment,1386.43,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P052,Gaming Console Pro,Entertainment,985.17,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P053,Wireless Earbuds Eco,Electronics,1276.07,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P054,Designer Sunglasses Max,Fashion,732.41,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P055,Gaming Console Ultra,Entertainment,580.88,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P056,Bluetooth Speaker Eco,Entertainment,1181.99,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P057,Coffee Maker 2025 Edition,Home,1436.83,High quality coffee maker suitable for home enthusiasts. Features state-of-the-art technology.
P058,Portable Projector Ultra,Entertainment,459.13,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P059,Mechanical Keyboard 2025 Edition,Electronics,822.45,High quality mechanical keyboard suitable for electronics enthusiasts. Features state-of-the-art technology.
P060,Smart Bulb Pro,Home,884.58,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P061,Running Shoes Series X,Fashion,138.56,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P062,Running Shoes Series X,Fashion,120.58,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P063,Designer Sunglasses Pro,Fashion,1413.56,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P064,Winter Coat Series X,Fashion,78.82,High quality winter coat suitable for fashion enthusiasts. Features state-of-the-art technology.
P065,Gaming Mouse 2025 Edition,Electronics,883.83,High quality gaming mouse suitable for electronics enthusiasts. Features state-of-the-art technology.
P066,Air Purifier Ultra,Home,1011.19,High quality air purifier suitable for home enthusiasts. Features state-of-the-art technology.
P067,Robot Vacuum Lite,Home,605.76,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P068,Coffee Maker Lite,Home,1394.95,High quality coffee maker suitable for home enthusiasts. Features state-of-the-art technology.
P069,Wireless Earbuds Max,Electronics,939.32,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P070,Wireless Earbuds Series X,Electronics,335.47,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P071,Robot Vacuum Lite,Home,1323.68,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P072,Smart Backpack Lite,Fashion,253.47,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P073,Standing Desk Eco,Home,987.88,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P074,Drone Eco,Electronics,840.81,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P075,Smart Watch Lite,Electronics,190.83,High quality smart watch suitable for electronics enthusiasts. Features state-of-the-art technology.
P076,Drone Series X,Electronics,250.06,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P077,Standing Desk Ultra,Home,1082.07,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P078,Smart Backpack Series X,Fashion,743.03,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P079,Wireless Earbuds 2025 Edition,Electronics,646.89,High quality wireless earbuds suitable for electronics enthusiasts. Features state-of-the-art technology.
P080,Smart Bulb Pro,Home,513.66,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P081,Smart Backpack Ultra,Fashion,1117.02,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P082,Gaming Console Pro,Entertainment,131.36,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P083,Winter Coat Pro,Fashion,1255.2,High quality winter coat suitable for fashion enthusiasts. Features state-of-the-art technology.
P084,Designer Sunglasses Ultra,Fashion,81.91,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P085,Smart Bulb Lite,Home,330.91,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P086,Running Shoes Lite,Fashion,1174.57,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P087,Portable Projector Ultra,Entertainment,1299.62,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P088,Designer Sunglasses Pro,Fashion,285.45,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P089,Coffee Maker Eco,Home,1011.46,High quality coffee maker suitable for home enthusiasts. Features state-of-the-art technology.
P090,Smart Backpack Ultra,Fashion,1185.31,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P091,Gaming Mouse Eco,Electronics,77.31,High quality gaming mouse suitable for electronics enthusiasts. Features state-of-the-art technology.
P092,Portable Projector Ultra,Entertainment,1228.55,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P093,Bluetooth Speaker Lite,Entertainment,1234.39,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P094,Denim Jacket Pro,Fashion,996.85,High quality denim jacket suitable for fashion enthusiasts. Features state-of-the-art technology.
P095,Bluetooth Speaker Lite,Entertainment,1299.24,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P096,Air Purifier 2025 Edition,Home,773.92,High quality air purifier suitable for home enthusiasts. Features state-of-the-art technology.
P097,Smart Bulb Pro,Home,1318.02,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P098,Robot Vacuum Series X,Home,1444.55,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P099,Smart Bulb Pro,Home,902.93,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P100,Air Purifier Max,Home,917.19,High quality air purifier suitable for home enthusiasts. Features state-of-the-art technology.
P101,Gaming Mouse Series X,Electronics,301.32,High quality gaming mouse suitable for electronics enthusiasts. Features state-of-the-art technology.
P102,Drone Max,Electronics,22.5,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P103,Smart Backpack Max,Fashion,123.56,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P104,Standing Desk Lite,Home,1001.81,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P105,Drone Lite,Electronics,770.54,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P106,Bluetooth Speaker Max,Entertainment,1051.87,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P107,Denim Jacket Max,Fashion,1004.1,High quality denim jacket suitable for fashion enthusiasts. Features state-of-the-art technology.
P108,Portable Projector Series X,Entertainment,862.28,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P109,Gaming Console Lite,Entertainment,444.63,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P110,Bluetooth Speaker Max,Entertainment,673.84,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P111,Winter Coat Max,Fashion,1194.73,High quality winter coat suitable for fashion enthusiasts. Features state-of-the-art technology.
P112,Running Shoes Lite,Fashion,782.87,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P113,Smart Bulb Eco,Home,1428.96,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P114,Smart Backpack Ultra,Fashion,1213.71,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P115,Running Shoes Pro,Fashion,382.37,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P116,Gaming Console Max,Entertainment,633.37,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P117,Designer Sunglasses Max,Fashion,611.49,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P118,Running Shoes Eco,Fashion,1293.45,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
P119,VR Headset Max,Electronics,343.88,High quality vr headset suitable for electronics enthusiasts. Features state-of-the-art technology.
P120,Gaming Console Series X,Entertainment,388.81,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
